index;id;nome;url;preco;preco_pix;preco_por_gb;modulos;capacidade;popularidade;2025-11-22;2025-11-23;2025-11-24;2025-11-25;2025-11-26;2025-11-27;2025-11-28;2025-11-29;2025-11-30;2025-12-01;2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-06;2025-12-07;2025-12-08;2025-12-09;2025-12-10;2025-12-11;2025-12-12;2025-12-13;2025-12-14;2025-12-15;2025-12-16;2025-12-17;2025-12-18;2025-12-19;2025-12-20;2025-12-21;2025-12-22;2025-12-23;2025-12-24;2025-12-25;2025-12-26;2025-12-27;2025-12-28;2025-12-29;2025-12-30;2025-12-31;2026-01-01;2026-01-02;2026-01-03;2026-01-04;2026-01-05;2026-01-06;2026-01-07;2026-01-08;2026-01-09;2026-01-10;2026-01-11;2026-01-12;2026-01-13;2026-01-14;2026-01-15;2026-01-16;2026-01-17;2026-01-18;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-24;2026-01-25;2026-01-26;2026-01-27;2026-01-28;2026-01-29;2026-01-30;2026-01-31;2026-02-01;2026-02-02;2026-02-03;2026-02-04;2026-02-05;2026-02-06;2026-02-07;2026-02-08;2026-02-09;2026-02-10;2026-02-11;2026-02-12;2026-02-13;2026-02-14;2026-02-15;2026-02-16;2026-02-17;2026-02-18;2026-02-19;2026-02-20;2026-02-21;2026-02-22;2026-02-23;2026-02-24;2026-02-25;2026-02-26;2026-02-27;2026-02-28;2026-03-01;2026-03-02;2026-03-03;2026-03-04;2026-03-05;2026-03-06;2026-03-07;2026-03-08;2026-03-09;2026-03-10;2026-03-11;2026-03-12;2026-03-13;2026-03-14;2026-03-15;2026-03-16;2026-03-17;2026-03-18;2026-03-19;2026-03-20;2026-03-21;2026-03-22;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-28;2026-03-29;2026-03-30;2026-03-31;2026-04-01;2026-04-02;2026-04-03;2026-04-04;2026-04-05;2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-10;2026-04-11;2026-04-12;2026-04-13;2026-04-14;2026-04-15;2026-04-16;2026-04-17;2026-04-18;2026-04-19;2026-04-20;2026-04-21;2026-04-22;2026-04-23;2026-04-24;2026-04-25;2026-04-26;2026-04-27;2026-04-28;2026-04-29;2026-04-30;2026-05-01;2026-05-02;2026-05-03;2026-05-04;2026-05-05;2026-05-06;2026-05-07;2026-05-08;2026-05-09;2026-05-10;2026-05-11;2026-05-12;2026-05-13;2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20
1;uokOBi;XPG Lancer Blade RGB (RGB);https://meupc.net/peca/uokOBi/memoria-xpg-lancer-blade-rgb-ax5u6000c4816g-slabrbk;1941.10;1649.99;103.12;1x16 GB;16;3047;577.99;577.99;577.99;577.99;577.99;577.99;577.99;577.99;577.99;577.99;577.99;577.99;929.99;929.99;577.99;577.99;811.71;617.90;1029.99;1099.99;1259.99;1259.99;1259.99;1259.99;1299.99;1359.99;1499.99;1499.99;1549.99;1659.99;1309.99;1309.99;1609.99;1699.99;1699.99;1799.99;1609.99;1799.99;;1899.99;1899.99;1799.99;;;1809.99;1859.90;1859.90;1909.99;1909.99;1348.99;1699.99;1699.99;1699.99;1699.99;1348.99;1348.99;1348.99;2011.99;2089.99;2089.99;1813.99;1813.99;1959.99;1959.99;1959.99;1959.99;1699.99;1699.99;1599.99;1599.99;2049.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1348.99;1348.99;1579.99;1579.99;1579.99;1579.99;1579.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1579.99;1579.99;1574.99;1574.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1359.90;1359.90;1699.99;1699.99;1699.99;1699.99;1699.99;1309.90;1309.90;1689.99;1689.99;1689.99;1699.99;1689.99;1689.99;1689.99;1684.99;1684.99;1684.99;1684.99;1684.99;1599.90;1599.90;1684.99;1684.99;1684.99;1684.99;1684.99;1684.90;1679.99;1679.99;1679.99;1679.99;1679.99;1599.90;1599.90;1399.99;1679.90;1679.90;1678.99;1678.99;1678.99;1499.90;1499.90;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1329.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1419.90;1419.90;1649.99;1649.99;1649.99;1649.99
2;1fGXZF;Kingston Fury Beast (Preto);https://meupc.net/peca/1fGXZF/memoria-kingston-fury-beast-kf560c36bbe2-16;1964.69;1669.99;104.37;1x16 GB;16;831;629.99;627.99;627.99;649.99;649.99;617.99;617.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;580.00;699.99;999.99;802.00;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;1949.00;1949.00;1949.00;2128.20;2599.00;2599.00;2599.00;2599.00;1999.49;1999.49;1999.49;2199.99;1760.00;1760.00;1760.00;1760.00;1660.00;1660.00;1760.00;1760.00;1760.00;1789.00;1765.00;1765.00;1659.19;1490.00;1765.00;1659.19;1659.19;1877.71;1877.71;1490.00;1877.71;1877.71;1877.71;1877.71;1928.00;1499.99;1499.99;1499.99;1499.99;1499.99;1599.99;1592.00;1592.00;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1589.99;1489.99;1489.99;1489.99;1489.99;1489.99;1669.90;1669.99;1669.99;1669.99;1669.99;1669.99;1669.99;1669.99;1749.99;1669.90;1749.99;1749.99;1749.99;1749.99;1749.99;1749.99;1749.99;1799.99;1819.00;1799.99;1669.90;1669.90;1799.99;1799.99;1799.99;1878.00;1878.00;1815.00;1815.00;1815.00;1853.15;1853.15;1853.15;1679.99;1679.99;1679.99;1679.99;1679.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1899.99;1899.99;1899.99;1499.49;1499.49;1499.49;1499.49;1899.99;1799.00;1799.00;1799.00;1669.99;1669.99;1669.99;1655.00;1655.00;1655.00;1499.49;1499.49;1669.99;1669.99;1669.99;1669.99;1669.99;1669.99
3;wFeUoH;XPG Lancer Blade (Branco);https://meupc.net/peca/wFeUoH/memoria-xpg-lancer-blade-ax5u6000c4816g-slabwh;1929.40;1639.99;102.5;1x16 GB;16;171;569.99;569.99;569.99;569.99;579.99;599.99;599.99;599.99;599.99;599.99;689.99;899.99;899.99;899.99;899.99;899.99;899.99;999.99;999.99;1089.99;1199.99;1199.99;1199.99;1199.99;1299.99;1299.99;1299.99;;;;;;;;;;;;;;;;;;1899.99;1899.99;1899.99;2049.99;2049.99;2049.99;2049.99;2049.99;1999.99;1999.99;1999.99;1899.99;1899.99;1899.99;1899.99;1989.99;1959.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1499.99;1499.99;1499.99;1498.90;1498.90;1498.90;1498.90;1498.90;1498.90;1498.90;1498.90;1549.90;1549.90;1549.90;1549.90;1549.90;1609.99;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1466.69;1466.69;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1549.90;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1799.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1659.99;1659.99;1659.99;1659.99;1659.99;1419.99;1419.99;1519.99;1519.99;1659.99;1659.99;1458.99;1458.99;1399.99;1399.99;1649.99;1649.99;1649.99;1454.99;1454.99;1659.99;1659.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99;1639.99
4;oHHJu2;Husky Impulse (Preto);https://meupc.net/peca/oHHJu2/memoria-husky-impulse-hrm166049pt;1764.60;1499.99;93.75;1x16 GB;16;151;499.90;499.90;499.90;499.90;499.90;;;499.90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1529.99;1529.99;;;;1549.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1499.99;1499.99;1499.99;1499.99;1499.99;1479.99;1479.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99
5;HsPNwg;XPG Lancer Blade (Preto);https://meupc.net/peca/HsPNwg/memoria-xpg-lancer-blade-ax5u6000c4816g-slabbk;1974.11;1677.99;104.87;1x16 GB;16;133;569.99;569.99;569.99;569.99;569.99;566.91;566.91;599.99;599.99;599.99;669.99;899.99;899.99;899.99;688.41;688.41;899.99;709.99;999.99;1089.99;1199.99;1199.99;1199.99;1199.99;1299.99;1299.99;1299.99;;;;1209.99;1209.99;1649.99;1649.99;1649.99;;;;;;;;;;1649.99;1899.99;1899.99;1919.99;1919.99;2049.99;2049.99;2049.99;1999.99;1999.99;1999.99;1899.99;1899.99;1899.99;1899.99;1999.99;1959.99;1949.99;1949.99;1949.99;1949.99;1949.99;1419.90;1949.99;1949.99;1959.99;1959.99;1959.99;1949.00;1949.00;1949.00;1949.00;1949.00;1949.00;1949.00;1949.00;1499.99;1499.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1399.90;1399.90;1679.99;1679.99;1679.99;1679.99;1349.99;1349.99;1679.99;1359.99;1359.99;1359.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1499.99;1679.99;1459.90;1459.90;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1799.99;1799.99;1789.99;1789.99;1789.99;1789.99;1789.99;1789.99;1789.99;1789.99;1789.99;1789.99;1419.90;1659.99;1659.99;1599.99;1599.99;1599.99;1599.99;1678.90;1678.90;1678.90;1678.90;1678.90;1678.90;1678.90;1678.90;1678.90;1678.90;1677.99;1677.99;1677.99;1677.99;1677.99;1677.99;1677.99;1677.90;1677.90;1677.90;1677.90;1677.90;1677.90;1677.90;1677.90;1677.90;1677.90;1677.90;1677.99;1677.99
6;AsL4Ra;Corsair Vengeance (Cinza);https://meupc.net/peca/AsL4Ra/memoria-corsair-vengeance-cmk16gx5m1e6000z36;1941.16;1649.99;103.12;1x16 GB;16;119;799.99;799.99;799.99;;;;;;;;;;;;999.99;999.99;999.99;1039.99;1039.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1859.99;1899.99;1899.99;;;;;;;;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1799.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99;1649.99
7;3ErM8C;Kingston Fury Beast RGB (RGB);https://meupc.net/peca/3ErM8C/memoria-kingston-fury-beast-rgb-kf560c36bbe2a-16;2199.99;1869.99;116.87;1x16 GB;16;88;;;676.99;719.99;719.99;676.99;676.99;839.99;839.99;839.99;839.99;849.99;969.99;969.99;969.99;969.99;969.99;;;;1249.99;1249.99;1249.99;1249.99;1289.99;1399.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1899.99;2299.99;2299.99;2299.99;2499.99;2499.99;2499.99;;;;;;;;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;1949.90;1949.90;1949.90;1949.90;1949.90;1949.90;1949.90;1439.90;1439.90;1949.90;1949.90;1949.90;1949.90;1949.90;1949.90;1949.90;1939.99;1939.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1949.90;1949.90;1949.90;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1649.90;2059.99;1649.90;1649.90;1649.90;1649.90;1649.90;1649.90;1649.90;;;;;;1889.99;1699.99;1699.99;1699.99;1699.99;1699.99;;;;;;;;;;;;;;;;;;;1899.99;1899.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99;1869.99
8;ALG0XA;Kingston Fury Beast Expo (Preto);https://meupc.net/peca/ALG0XA/memoria-kingston-fury-beast-expo-kf560c30bbe-16;2282.34;1939.99;121.25;1x16 GB;16;82;758.99;758.99;719.99;719.99;719.99;756.99;749.99;756.99;756.99;756.99;859.99;758.99;969.99;969.99;;;;;;;1299.99;1299.99;1299.99;;;;;;;;;;;;;;;;;;;;;;2499.99;2499.99;2599.99;2599.99;;;;;;;;;;;;;;;;;;;;;;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;1899.99;1899.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;1889.99;1889.99;1889.99;1889.99;1889.99;1849.99;1849.99;1849.99;1849.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1699.99;1999.99;1999.99;1999.99;1999.99;1999.99;1999.99;2099.99;2099.99;2099.99;2099.99;;2099.99;2099.99;2199.99;2199.99;;;;;;;;;;;;;;1799.99;1799.99;;;;;;;;;;;;;;;;;2019.99;2019.99;2019.99;1659.99;1659.99;1659.99;1659.99;1659.99;1659.99;1659.99;1659.99;1939.99;1939.99;1939.99;1939.99;1939.99;1939.99
9;oVR36W;Rise Mode Zeus Series (Branco);https://meupc.net/peca/oVR36W/memoria-rise-mode-zeus-series-rm-d5-16g-6000ze-w;1990.00;1990.00;124.38;1x16 GB;16;77;999.00;999.00;999.00;999.00;999.00;692.99;692.99;692.99;692.99;692.99;692.99;692.99;692.99;692.99;692.99;692.99;692.99;692.99;2000.00;692.99;2000.00;2000.00;2000.00;2000.00;;;;;;;;;;;;;;;;;;;;;2600.00;2600.00;3500.00;3500.00;3500.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;3999.00;1900.00;3999.00;3999.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;2200.00;1990.00;1990.00;1990.00;1690.00;1690.00;1990.00;1990.00;1990.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1990.00;1990.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1699.00;1990.00;1990.00;1990.00;1990.00;1899.05;1899.05;1899.05;1899.05;1899.05;1899.05;1899.05;1899.05;1899.05;1899.05;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1990.00;1990.00;1990.00;1450.00;1450.00;1400.00;1400.00;1400.00;1400.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00;1990.00
10;ujcmIS;Kingston Fury Beast Expo (Branco);https://meupc.net/peca/ujcmIS/memoria-kingston-fury-beast-expo-kf560c30bwe-16;2294.11;1949.99;121.87;1x16 GB;16;68;658.99;658.99;719.99;719.99;719.99;719.99;609.99;819.99;;;;;;;;;819.99;;;;1299.99;1299.99;1299.99;1299.99;;;;;;;;;;;;;;;1509.99;1509.99;;;;1509.99;;;;;;;;;;;;;;;1899.00;2159.90;2159.90;2159.90;2159.90;2159.90;2159.90;2159.90;2159.90;2159.90;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2079.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;2099.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1894.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1899.99;1790.00;1790.00;1790.00;1790.00;1790.00;1899.99;1800.00;1850.00;2199.99;2199.99;2199.99;1850.00;1850.00;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;2199.99;1990.00;1990.00;1990.00;1990.00;1990.00;1749.93;1990.00;1990.00;1990.00;1890.00;1890.00;1899.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99;1949.99
